1: param_1_biomass1='0.01', param_2_biomass2='0.01', param_3_gly1='-10', param_4_gly2='-10',1,2.38567
2: param_1_biomass1='0.01', param_2_biomass2='0.005', param_3_gly1='-0.5', param_4_gly2='-2',2,2.92546
3: param_1_biomass1='0.02', param_2_biomass2='0.0001', param_3_gly1='-0.5', param_4_gly2='-6',3,0.403599
4: param_1_biomass1='0.005', param_2_biomass2='0.02', param_3_gly1='-5', param_4_gly2='-2',4,1.18771
5: param_1_biomass1='0.02', param_2_biomass2='0.025', param_3_gly1='-0.5', param_4_gly2='-4',5,2.93304
6: param_1_biomass1='0.01', param_2_biomass2='0.005', param_3_gly1='-3', param_4_gly2='-1',6,2.92546
7: param_1_biomass1='0.1', param_2_biomass2='0.1', param_3_gly1='-1', param_4_gly2='-4',7,3.39166
8: param_1_biomass1='0.0005', param_2_biomass2='0.05', param_3_gly1='-3', param_4_gly2='-0.1',8,2.9645
9: param_1_biomass1='0.1', param_2_biomass2='0.03', param_3_gly1='-6', param_4_gly2='-4',9,3.35963
10: param_1_biomass1='0.0001', param_2_biomass2='0.02', param_3_gly1='-10', param_4_gly2='-15',10,1.24745
11: param_1_biomass1='0.02', param_2_biomass2='0.1', param_3_gly1='-6', param_4_gly2='-6',11,1.85527
12: param_1_biomass1='0.005', param_2_biomass2='0.0005', param_3_gly1='-15', param_4_gly2='-1',12,0.917179
13: param_1_biomass1='0.025', param_2_biomass2='0.001', param_3_gly1='-3', param_4_gly2='-3',13,1.0522
14: param_1_biomass1='0.01', param_2_biomass2='0.02', param_3_gly1='-5', param_4_gly2='-2',14,1.86038
15: param_1_biomass1='0.03', param_2_biomass2='0.001', param_3_gly1='-0.5', param_4_gly2='-20',15,1.01129
16: param_1_biomass1='0.03', param_2_biomass2='0.015', param_3_gly1='-5', param_4_gly2='-15',16,3.38139
17: param_1_biomass1='0.03', param_2_biomass2='0.001', param_3_gly1='-0.1', param_4_gly2='-0.5',17,1.01129
18: param_1_biomass1='0.025', param_2_biomass2='0.025', param_3_gly1='-2', param_4_gly2='-6',18,3.32457
19: param_1_biomass1='0.1', param_2_biomass2='0.001', param_3_gly1='-3', param_4_gly2='-2',19,0.813531
20: param_1_biomass1='0.05', param_2_biomass2='0.0001', param_3_gly1='-5', param_4_gly2='-10',20,0.383765
21: param_1_biomass1='0.1', param_2_biomass2='0.001', param_3_gly1='-0.1', param_4_gly2='-5',21,0.813531
22: param_1_biomass1='0.005', param_2_biomass2='0.005', param_3_gly1='-5', param_4_gly2='-20',22,1.79114
23: param_1_biomass1='0.05', param_2_biomass2='0.005', param_3_gly1='-0.1', param_4_gly2='-6',23,3.2303
24: param_1_biomass1='0.05', param_2_biomass2='0.0005', param_3_gly1='-0.5', param_4_gly2='-0.1',24,0.618973
25: param_1_biomass1='0.05', param_2_biomass2='0.05', param_3_gly1='-0.1', param_4_gly2='-5',25,3.38324
26: param_1_biomass1='0.1', param_2_biomass2='0.015', param_3_gly1='-10', param_4_gly2='-0.1',26,3.3452
27: param_1_biomass1='0.025', param_2_biomass2='0.05', param_3_gly1='-0.1', param_4_gly2='-1',27,2.72254
28: param_1_biomass1='0.001', param_2_biomass2='0.015', param_3_gly1='-1', param_4_gly2='-7.5',28,0.547968
29: param_1_biomass1='0.1', param_2_biomass2='0.05', param_3_gly1='-0.1', param_4_gly2='-15',29,3.36284
30: param_1_biomass1='0.1', param_2_biomass2='0.0005', param_3_gly1='-15', param_4_gly2='-10',30,0.569345
31: param_1_biomass1='0.025', param_2_biomass2='0.02', param_3_gly1='-0.1', param_4_gly2='-2',31,3.37276
32: param_1_biomass1='0.02', param_2_biomass2='0.005', param_3_gly1='-10', param_4_gly2='-4',32,3.35105
33: param_1_biomass1='0.05', param_2_biomass2='0.05', param_3_gly1='-20', param_4_gly2='-6',33,3.38324
34: param_1_biomass1='0.0005', param_2_biomass2='0.015', param_3_gly1='-3', param_4_gly2='-2',34,0.431315
35: param_1_biomass1='0.03', param_2_biomass2='0.015', param_3_gly1='-20', param_4_gly2='-4',35,3.38139
36: param_1_biomass1='0.005', param_2_biomass2='0.02', param_3_gly1='-20', param_4_gly2='-10',36,1.18771
37: param_1_biomass1='0.03', param_2_biomass2='0.1', param_3_gly1='-15', param_4_gly2='-6',37,2.56297
38: param_1_biomass1='0.0005', param_2_biomass2='0.05', param_3_gly1='-0.1', param_4_gly2='-3',38,2.9645
39: param_1_biomass1='0.0001', param_2_biomass2='0.02', param_3_gly1='-4', param_4_gly2='-7.5',39,1.24745
40: param_1_biomass1='0.05', param_2_biomass2='0.02', param_3_gly1='-15', param_4_gly2='-5',40,3.34154
41: param_1_biomass1='0.1', param_2_biomass2='0.05', param_3_gly1='-6', param_4_gly2='-20',41,3.36284
42: param_1_biomass1='0.05', param_2_biomass2='0.025', param_3_gly1='-20', param_4_gly2='-6',42,3.36562
43: param_1_biomass1='0.1', param_2_biomass2='0.03', param_3_gly1='-2', param_4_gly2='-15',43,3.35963
44: param_1_biomass1='0.03', param_2_biomass2='0.025', param_3_gly1='-15', param_4_gly2='-7.5',44,3.38253
45: param_1_biomass1='0.001', param_2_biomass2='0.005', param_3_gly1='-0.1', param_4_gly2='-6',45,0.68706
46: param_1_biomass1='0.03', param_2_biomass2='0.05', param_3_gly1='-6', param_4_gly2='-20',46,3.1448
47: param_1_biomass1='0.01', param_2_biomass2='0.025', param_3_gly1='-1', param_4_gly2='-4',47,1.73735
48: param_1_biomass1='0.03', param_2_biomass2='0.03', param_3_gly1='-7.5', param_4_gly2='-7.5',48,3.3783
49: param_1_biomass1='0.03', param_2_biomass2='0.1', param_3_gly1='-20', param_4_gly2='-10',49,2.56297
50: param_1_biomass1='0.03', param_2_biomass2='0.025', param_3_gly1='-15', param_4_gly2='-6',50,3.38253
51: param_1_biomass1='0.03', param_2_biomass2='0.015', param_3_gly1='-2', param_4_gly2='-4',51,3.38139
52: param_1_biomass1='0.03', param_2_biomass2='0.03', param_3_gly1='-10', param_4_gly2='-20',52,3.3783
53: param_1_biomass1='0.01', param_2_biomass2='0.02', param_3_gly1='-0.1', param_4_gly2='-2',53,1.86038
