metabolite	cycle	x	y	conc_mmol
ca2_e	0	1	1	100.0
cbl1_e	0	1	1	0.001
cl_e	0	1	1	1000.0
cobalt2_e	0	1	1	1000.0
cu2_e	0	1	1	1000.0
fe2_e	0	1	1	1000.0
glycol_e	0	1	1	10.0
h2o_e	0	1	1	1000.0
h_e	0	1	1	1000.0
k_e	0	1	1	1000.0
mg2_e	0	1	1	1000.0
mn2_e	0	1	1	1000.0
mobd_e	0	1	1	1000.0
na1_e	0	1	1	1000.0
nh4_e	0	1	1	1000.0
ni2_e	0	1	1	1000.0
o2_e	0	1	1	1000.0
pi_e	0	1	1	1000.0
so4_e	0	1	1	1000.0
tpha_e	0	1	1	10.0
zn2_e	0	1	1	1000.0
34dhbz_e	1	1	1	0.018954300736
C80aPHA_e	1	1	1	0.0045149243101
ca2_e	1	1	1	99.999991863
cbl1_e	1	1	1	0.001
cl_e	1	1	1	999.99999186
co2_e	1	1	1	0.18550534499
cobalt2_e	1	1	1	999.99999458
cu2_e	1	1	1	999.99999458
fe2_e	1	1	1	999.99997172
glycol_e	1	1	1	9.86
h2o_e	1	1	1	1000.361456
h_e	1	1	1	999.99905835
k_e	1	1	1	999.99969479
mg2_e	1	1	1	999.99998644
mn2_e	1	1	1	1000.0
mobd_e	1	1	1	999.99999458
na1_e	1	1	1	999.99999322
nh4_e	1	1	1	999.97953675
ni2_e	1	1	1	999.99999458
o2_e	1	1	1	999.75903102
pi_e	1	1	1	999.99819653
so4_e	1	1	1	999.99964615
tpha_e	1	1	1	9.9810456993
zn2_e	1	1	1	999.99999458
34dhbz_e	2	1	1	0.0027093162709
C80aPHA_e	2	1	1	0.018421732018
ca2_e	2	1	1	99.999982768
cbl1_e	2	1	1	0.001
cl_e	2	1	1	999.99998277
co2_e	2	1	1	0.45416701547
cobalt2_e	2	1	1	999.99998851
cu2_e	2	1	1	999.99998851
fe2_e	2	1	1	999.99994011
glycol_e	2	1	1	9.7604775356
h2o_e	2	1	1	1000.6388956
h_e	2	1	1	999.96454929
k_e	2	1	1	999.99935368
mg2_e	2	1	1	999.99997128
mn2_e	2	1	1	1000.0
mobd_e	2	1	1	999.99998851
na1_e	2	1	1	999.99998564
nh4_e	2	1	1	999.95666611
ni2_e	2	1	1	999.99998851
o2_e	2	1	1	999.49672787
pi_e	2	1	1	999.99618089
so4_e	2	1	1	999.99925067
tpha_e	2	1	1	9.9618477847
zn2_e	2	1	1	999.99998851
34dhbz_e	3	1	1	0.016261035759
C80aPHA_e	3	1	1	0.024849163214
ca2_e	3	1	1	99.99997384
cbl1_e	3	1	1	0.001
cl_e	3	1	1	999.99997384
co2_e	3	1	1	0.66618101745
cobalt2_e	3	1	1	999.99998256
cu2_e	3	1	1	999.99998256
fe2_e	3	1	1	999.99990908
glycol_e	3	1	1	9.6166818243
h2o_e	3	1	1	1001.013409
h_e	3	1	1	999.95897685
k_e	3	1	1	999.99901877
mg2_e	3	1	1	999.9999564
mn2_e	3	1	1	1000.0
mobd_e	3	1	1	999.99998256
na1_e	3	1	1	999.9999782
nh4_e	3	1	1	999.93421193
ni2_e	3	1	1	999.99998256
o2_e	3	1	1	999.23539622
pi_e	3	1	1	999.99420195
so4_e	3	1	1	999.99886239
tpha_e	3	1	1	9.9424031253
zn2_e	3	1	1	999.99998256
34dhbz_e	4	1	1	0.00065544532199
C80aPHA_e	4	1	1	0.038860204967
ca2_e	4	1	1	99.999964493
cbl1_e	4	1	1	0.001
cl_e	4	1	1	999.99996449
co2_e	4	1	1	0.9402173507
cobalt2_e	4	1	1	999.99997633
cu2_e	4	1	1	999.99997633
fe2_e	4	1	1	999.9998766
glycol_e	4	1	1	9.512605638
h2o_e	4	1	1	1001.302517
h_e	4	1	1	999.92467207
k_e	4	1	1	999.9986682
mg2_e	4	1	1	999.99994082
mn2_e	4	1	1	1000.0
mobd_e	4	1	1	999.99997633
na1_e	4	1	1	999.99997041
nh4_e	4	1	1	999.91070713
ni2_e	4	1	1	999.99997633
o2_e	4	1	1	998.96573145
pi_e	4	1	1	999.99213042
so4_e	4	1	1	999.99845595
tpha_e	4	1	1	9.9227085497
zn2_e	4	1	1	999.99997633
34dhbz_e	5	1	1	0.019184589933
C80aPHA_e	5	1	1	0.044065677271
ca2_e	5	1	1	99.999955751
cbl1_e	5	1	1	0.001
cl_e	5	1	1	999.99995575
co2_e	5	1	1	1.1410296592
cobalt2_e	5	1	1	999.9999705
cu2_e	5	1	1	999.9999705
fe2_e	5	1	1	999.99984622
glycol_e	5	1	1	9.3647749827
h2o_e	5	1	1	1001.6848825
h_e	5	1	1	999.92265858
k_e	5	1	1	999.99834028
mg2_e	5	1	1	999.99992624
mn2_e	5	1	1	1000.0
mobd_e	5	1	1	999.9999705
na1_e	5	1	1	999.99996312
nh4_e	5	1	1	999.88872143
ni2_e	5	1	1	999.9999705
o2_e	5	1	1	998.70821755
pi_e	5	1	1	999.99019277
so4_e	5	1	1	999.99807577
tpha_e	5	1	1	9.9027608458
zn2_e	5	1	1	999.9999705
34dhbz_e	6	1	1	0.0018206784278
C80aPHA_e	6	1	1	0.058788931724
ca2_e	6	1	1	99.999946142
cbl1_e	6	1	1	0.001
cl_e	6	1	1	999.99994614
co2_e	6	1	1	1.4250214311
cobalt2_e	6	1	1	999.9999641
cu2_e	6	1	1	999.9999641
fe2_e	6	1	1	999.99981282
glycol_e	6	1	1	9.2598204599
h2o_e	6	1	1	1001.9775769
h_e	6	1	1	999.88615597
k_e	6	1	1	999.99797989
mg2_e	6	1	1	999.99991023
mn2_e	6	1	1	1000.0
mobd_e	6	1	1	999.9999641
na1_e	6	1	1	999.99995511
nh4_e	6	1	1	999.86455828
ni2_e	6	1	1	999.9999641
o2_e	6	1	1	998.43117715
pi_e	6	1	1	999.98806321
so4_e	6	1	1	999.99765794
tpha_e	6	1	1	9.8825567602
zn2_e	6	1	1	999.9999641
34dhbz_e	7	1	1	0.018357207887
C80aPHA_e	7	1	1	0.064883341334
ca2_e	7	1	1	99.999936928
cbl1_e	7	1	1	0.001
cl_e	7	1	1	999.99993693
co2_e	7	1	1	1.6404051334
cobalt2_e	7	1	1	999.99995796
cu2_e	7	1	1	999.99995796
fe2_e	7	1	1	999.9997808
glycol_e	7	1	1	9.1079450169
h2o_e	7	1	1	1002.3718184
h_e	7	1	1	999.8821621
k_e	7	1	1	999.99763428
mg2_e	7	1	1	999.99989487
mn2_e	7	1	1	1000.0
