1: param_1_biomass1='0.05', param_2_biomass2='0.05', param_3_gly1='-4', param_4_gly2='-10'
2: param_1_biomass1='0.025', param_2_biomass2='0.02', param_3_gly1='-0.5', param_4_gly2='-2'
3: param_1_biomass1='0.03', param_2_biomass2='0.01', param_3_gly1='-0.5', param_4_gly2='-6'
4: param_1_biomass1='0.02', param_2_biomass2='0.03', param_3_gly1='-5', param_4_gly2='-2'
5: param_1_biomass1='0.03', param_2_biomass2='0.07', param_3_gly1='-0.5', param_4_gly2='-4'
6: param_1_biomass1='0.025', param_2_biomass2='0.02', param_3_gly1='-3', param_4_gly2='-1'
7: param_1_biomass1='0.1', param_2_biomass2='0.1', param_3_gly1='-1', param_4_gly2='-4'
8: param_1_biomass1='0.015', param_2_biomass2='0.05', param_3_gly1='-3', param_4_gly2='-0.1'
9: param_1_biomass1='0.1', param_2_biomass2='0.07', param_3_gly1='-6', param_4_gly2='-4'
10: param_1_biomass1='0.01', param_2_biomass2='0.05', param_3_gly1='-10', param_4_gly2='-15'
11: param_1_biomass1='0.03', param_2_biomass2='0.1', param_3_gly1='-6', param_4_gly2='-6'
12: param_1_biomass1='0.02', param_2_biomass2='0.015', param_3_gly1='-15', param_4_gly2='-1'
13: param_1_biomass1='0.02', param_2_biomass2='0.01', param_3_gly1='-5', param_4_gly2='-15'
14: param_1_biomass1='0.025', param_2_biomass2='0.03', param_3_gly1='-5', param_4_gly2='-2'
15: param_1_biomass1='0.05', param_2_biomass2='0.02', param_3_gly1='-6', param_4_gly2='-1'
16: param_1_biomass1='0.05', param_2_biomass2='0.03', param_3_gly1='-5', param_4_gly2='-15'
17: param_1_biomass1='0.03', param_2_biomass2='0.015', param_3_gly1='-10', param_4_gly2='-6'
18: param_1_biomass1='0.05', param_2_biomass2='0.07', param_3_gly1='-2', param_4_gly2='-6'
19: param_1_biomass1='0.1', param_2_biomass2='0.02', param_3_gly1='-20', param_4_gly2='-15'
20: param_1_biomass1='0.1', param_2_biomass2='0.01', param_3_gly1='-5', param_4_gly2='-10'
21: param_1_biomass1='0.07', param_2_biomass2='0.015', param_3_gly1='-15', param_4_gly2='-10'
22: param_1_biomass1='0.02', param_2_biomass2='0.02', param_3_gly1='-5', param_4_gly2='-20'
23: param_1_biomass1='0.1', param_2_biomass2='0.025', param_3_gly1='-10', param_4_gly2='-7.5'
24: param_1_biomass1='0.07', param_2_biomass2='0.015', param_3_gly1='-0.5', param_4_gly2='-0.1'
25: param_1_biomass1='0.07', param_2_biomass2='0.025', param_3_gly1='-10', param_4_gly2='-5'
26: param_1_biomass1='0.1', param_2_biomass2='0.025', param_3_gly1='-10', param_4_gly2='-0.1'
27: param_1_biomass1='0.05', param_2_biomass2='0.025', param_3_gly1='-20', param_4_gly2='-6'
28: param_1_biomass1='0.015', param_2_biomass2='0.03', param_3_gly1='-1', param_4_gly2='-7.5'
