Fitness_function	configuration	fitness	sd	avg.Biomass	avg.Yield	endCycle
Yield	-15.0,-1.5,0.08,0.08,	3.432507	0.0	0.465837	0.186766	322
Yield	-14.0,-1.2,0.08,0.08,	3.432507	0.0	0.465837	0.186766	322
Yield	-14.0,-0.7,0.08,0.08,	3.432507	0.0	0.465837	0.186766	322
Yield	-13.0,-1.5,0.08,0.08,	3.432507	0.0	0.465837	0.186766	322
Yield	-12.0,-1.4,0.08,0.08,	3.432507	0.0	0.465837	0.186766	322
Yield	-12.0,-1.0,0.08,0.08,	3.432507	0.0	0.465837	0.186766	322
Yield	-11.0,-1.5,0.08,0.08,	3.432507	0.0	0.465837	0.186766	322
Yield	-11.0,-1.2,0.08,0.08,	3.432507	0.0	0.465837	0.186766	322
Yield	-11.0,-1.0,0.08,0.08,	3.432507	0.0	0.465837	0.186766	322
Yield	-10.0,-1.4,0.08,0.08,	3.432507	0.0	0.465837	0.186766	322
Yield	-10.0,-1.3,0.08,0.08,	3.432507	0.0	0.465837	0.186766	322
Yield	-10.0,-1.1,0.08,0.08,	3.432507	0.0	0.465837	0.186766	322
Yield	-10.0,-0.8,0.08,0.08,	3.432507	0.0	0.465837	0.186766	322
Yield	-10.0,-0.7,0.08,0.08,	3.432507	0.0	0.465837	0.186766	322
Yield	-10.0,-0.09,0.08,0.08,	3.432507	0.0	0.465837	0.186766	322
Yield	-14.5,-1.5,0.09,0.08,	3.41996	0.0	0.479808	0.189242	322
Yield	-14.5,-1.1,0.09,0.08,	3.41996	0.0	0.479808	0.189242	322
Yield	-14.0,-1.0,0.09,0.08,	3.41996	0.0	0.479808	0.189242	322
Yield	-12.0,-1.5,0.09,0.08,	3.41996	0.0	0.479808	0.189242	322
Yield	-12.0,-0.09,0.09,0.08,	3.41996	0.0	0.479808	0.189242	322
Yield	-11.0,-1.3,0.09,0.08,	3.41996	0.0	0.479808	0.189242	322
Yield	-10.5,-1.2,0.09,0.08,	3.41996	0.0	0.479808	0.189242	322
Yield	-14.5,-1.3,0.09,0.09,	3.418603	0.0	0.487393	0.187767	322
Yield	-14.0,-0.09,0.09,0.09,	3.418603	0.0	0.487393	0.187767	322
Yield	-14.0,-0.7,0.08,0.1,	3.41252	0.0	0.477033	0.181389	322
Yield	-13.0,-1.2,0.08,0.1,	3.41252	0.0	0.477033	0.181389	322
Yield	-15.0,-1.1,0.07,0.07,	3.410987	0.0	0.445797	0.186691	322
Yield	-14.0,-0.7,0.07,0.07,	3.410987	0.0	0.445797	0.186691	322
Yield	-11.0,-0.8,0.07,0.07,	3.410987	0.0	0.445797	0.186691	322
Yield	-10.5,-1.5,0.07,0.07,	3.410987	0.0	0.445797	0.186691	322
Yield	-10.5,-1.4,0.07,0.07,	3.410987	0.0	0.445797	0.186691	322
Yield	-15.0,-1.0,0.07,0.08,	3.403509	0.0	0.449324	0.182739	322
Yield	-14.5,-1.0,0.07,0.08,	3.403509	0.0	0.449324	0.182739	322
Yield	-14.0,-0.09,0.07,0.08,	3.403509	0.0	0.449324	0.182739	322
Yield	-12.0,-1.0,0.07,0.08,	3.403509	0.0	0.449324	0.182739	322
Yield	-11.0,-1.5,0.07,0.08,	3.403509	0.0	0.449324	0.182739	322
Yield	-11.0,-1.1,0.07,0.08,	3.403509	0.0	0.449324	0.182739	322
Yield	-10.0,-1.5,0.07,0.08,	3.403509	0.0	0.449324	0.182739	322
