metabolite	cycle	x	y	conc_mmol
ca2_e	0	1	1	100.0
cbl1_e	0	1	1	0.001
cl_e	0	1	1	1000.0
cobalt2_e	0	1	1	1000.0
cu2_e	0	1	1	1000.0
fe2_e	0	1	1	1000.0
glycol_e	0	1	1	10.0
h2o_e	0	1	1	1000.0
h_e	0	1	1	1000.0
k_e	0	1	1	1000.0
mg2_e	0	1	1	1000.0
mn2_e	0	1	1	1000.0
mobd_e	0	1	1	1000.0
na1_e	0	1	1	1000.0
nh4_e	0	1	1	1000.0
ni2_e	0	1	1	1000.0
o2_e	0	1	1	1000.0
pi_e	0	1	1	1000.0
so4_e	0	1	1	1000.0
tpha_e	0	1	1	10.0
zn2_e	0	1	1	1000.0
34dhbz_e	1	1	1	0.0025246980372
C80aPHA_e	1	1	1	0.00032016811885
ca2_e	1	1	1	99.999998512
cbl1_e	1	1	1	0.001
cl_e	1	1	1	999.99999851
co2_e	1	1	1	0.025818847431
cobalt2_e	1	1	1	999.99999901
cu2_e	1	1	1	999.99999901
fe2_e	1	1	1	999.99999483
glycol_e	1	1	1	9.98
h2o_e	1	1	1	1000.0528313
h_e	1	1	1	1000.00077
k_e	1	1	1	999.99994417
mg2_e	1	1	1	999.99999752
mn2_e	1	1	1	1000.0
mobd_e	1	1	1	999.99999901
na1_e	1	1	1	999.99999876
nh4_e	1	1	1	999.99625702
ni2_e	1	1	1	999.99999901
o2_e	1	1	1	999.96557586
pi_e	1	1	1	999.99967012
so4_e	1	1	1	999.99993528
tpha_e	1	1	1	9.997475302
zn2_e	1	1	1	999.99999901
34dhbz_e	2	1	1	3.8045789975e-05
C80aPHA_e	2	1	1	0.0019778590408
ca2_e	2	1	1	99.999996875
cbl1_e	2	1	1	0.001
cl_e	2	1	1	999.99999688
co2_e	2	1	1	0.063615331243
cobalt2_e	2	1	1	999.99999792
cu2_e	2	1	1	999.99999792
fe2_e	2	1	1	999.99998914
glycol_e	2	1	1	9.9657053797
h2o_e	2	1	1	1000.0938836
h_e	2	1	1	999.99675244
k_e	2	1	1	999.9998828
mg2_e	2	1	1	999.99999479
mn2_e	2	1	1	1000.0
mobd_e	2	1	1	999.99999792
na1_e	2	1	1	999.9999974
nh4_e	2	1	1	999.99214192
ni2_e	2	1	1	999.99999792
o2_e	2	1	1	999.9279613
pi_e	2	1	1	999.99930745
so4_e	2	1	1	999.99986412
tpha_e	2	1	1	9.9948986829
zn2_e	2	1	1	999.99999792
34dhbz_e	3	1	1	0.0023546573097
C80aPHA_e	3	1	1	0.0024030244083
ca2_e	3	1	1	99.999995301
cbl1_e	3	1	1	0.001
cl_e	3	1	1	999.9999953
co2_e	3	1	1	0.091470213013
cobalt2_e	3	1	1	999.99999687
cu2_e	3	1	1	999.99999687
fe2_e	3	1	1	999.99998367
glycol_e	3	1	1	9.9450063071
h2o_e	3	1	1	1000.1487312
h_e	3	1	1	999.99729512
k_e	3	1	1	999.99982374
mg2_e	3	1	1	999.99999217
mn2_e	3	1	1	1000.0
mobd_e	3	1	1	999.99999687
na1_e	3	1	1	999.99999608
nh4_e	3	1	1	999.98818248
ni2_e	3	1	1	999.99999687
o2_e	3	1	1	999.89160495
pi_e	3	1	1	999.9989585
so4_e	3	1	1	999.99979566
tpha_e	3	1	1	9.9922690751
zn2_e	3	1	1	999.99999687
34dhbz_e	4	1	1	0.00018294589247
C80aPHA_e	4	1	1	0.004019369342
ca2_e	4	1	1	99.999993607
cbl1_e	4	1	1	0.001
cl_e	4	1	1	999.99999361
co2_e	4	1	1	0.12986975363
cobalt2_e	4	1	1	999.99999574
cu2_e	4	1	1	999.99999574
fe2_e	4	1	1	999.99997778
glycol_e	4	1	1	9.929626907
h2o_e	4	1	1	1000.1925123
h_e	4	1	1	999.99350627
k_e	4	1	1	999.9997602
mg2_e	4	1	1	999.99998934
mn2_e	4	1	1	1000.0
mobd_e	4	1	1	999.99999574
na1_e	4	1	1	999.99999467
nh4_e	4	1	1	999.98392204
ni2_e	4	1	1	999.99999574
o2_e	4	1	1	999.85266071
pi_e	4	1	1	999.99858301
so4_e	4	1	1	999.99972199
tpha_e	4	1	1	9.9895853888
zn2_e	4	1	1	999.99999574
34dhbz_e	5	1	1	0.0013730121527
C80aPHA_e	5	1	1	0.0048078655975
ca2_e	5	1	1	99.999991895
cbl1_e	5	1	1	0.001
cl_e	5	1	1	999.99999189
co2_e	5	1	1	0.1625314147
cobalt2_e	5	1	1	999.9999946
cu2_e	5	1	1	999.9999946
fe2_e	5	1	1	999.99997183
glycol_e	5	1	1	9.908798011
h2o_e	5	1	1	1000.2484584
h_e	5	1	1	999.99300811
k_e	5	1	1	999.99969599
mg2_e	5	1	1	999.99998649
mn2_e	5	1	1	1000.0
mobd_e	5	1	1	999.9999946
na1_e	5	1	1	999.99999325
nh4_e	5	1	1	999.97961695
ni2_e	5	1	1	999.9999946
o2_e	5	1	1	999.81301379
pi_e	5	1	1	999.9982036
so4_e	5	1	1	999.99964754
tpha_e	5	1	1	9.9868465119
zn2_e	5	1	1	999.9999946
34dhbz_e	6	1	1	0.0013055255224
C80aPHA_e	6	1	1	0.0059337547317
ca2_e	6	1	1	99.999990146
cbl1_e	6	1	1	0.001
cl_e	6	1	1	999.99999015
co2_e	6	1	1	0.19821451154
cobalt2_e	6	1	1	999.99999343
cu2_e	6	1	1	999.99999343
fe2_e	6	1	1	999.99996576
glycol_e	6	1	1	9.8895625359
h2o_e	6	1	1	1000.3010836
h_e	6	1	1	999.99122037
k_e	6	1	1	999.99963041
mg2_e	6	1	1	999.99998358
mn2_e	6	1	1	1000.0
mobd_e	6	1	1	999.99999343
na1_e	6	1	1	999.99999179
nh4_e	6	1	1	999.97522028
ni2_e	6	1	1	999.99999343
o2_e	6	1	1	999.7726571
pi_e	6	1	1	999.99781611
so4_e	6	1	1	999.99957152
tpha_e	6	1	1	9.9840513093
zn2_e	6	1	1	999.99999343
34dhbz_e	7	1	1	0.0014207830766
C80aPHA_e	7	1	1	0.0070342275301
ca2_e	7	1	1	99.999988367
cbl1_e	7	1	1	0.001
cl_e	7	1	1	999.99998837
co2_e	7	1	1	0.23420384548
cobalt2_e	7	1	1	999.99999225
cu2_e	7	1	1	999.99999225
fe2_e	7	1	1	999.99995957
glycol_e	7	1	1	9.8697168262
h2o_e	7	1	1	1000.3552376
h_e	7	1	1	999.98956986
k_e	7	1	1	999.99956366
mg2_e	7	1	1	999.99998061
mn2_e	7	1	1	1000.0
